series,episode,name,date,player,total
6,4,BMXing!,2018-05-23,Russell Howard,24
6,5,H.,2018-05-30,Alice Levine,16
6,5,H.,2018-05-30,Asim Chaudhry,19
6,5,H.,2018-05-30,Russell Howard,21
6,5,H.,2018-05-30,Liza Tarbuck,25
6,5,H.,2018-05-30,Tim Vine,26
6,6,We met at mealtimes.,2018-06-06,Russell Howard,12
6,6,We met at mealtimes.,2018-06-06,Alice Levine,15
6,6,We met at mealtimes.,2018-06-06,Asim Chaudhry,17
6,6,We met at mealtimes.,2018-06-06,Liza Tarbuck,20
6,6,We met at mealtimes.,2018-06-06,Tim Vine,23
6,7,Roadkill doused in syrup.,2018-06-13,Alice Levine,14
6,7,Roadkill doused in syrup.,2018-06-13,Asim Chaudhry,15
6,7,Roadkill doused in syrup.,2018-06-13,Liza Tarbuck,17
6,7,Roadkill doused in syrup.,2018-06-13,Tim Vine,20
6,7,Roadkill doused in syrup.,2018-06-13,Russell Howard,21
6,8,What kind of pictures?,2018-06-20,Alice Levine,13
6,8,What kind of pictures?,2018-06-20,Asim Chaudhry,16
6,8,What kind of pictures?,2018-06-20,Tim Vine,16
6,8,What kind of pictures?,2018-06-20,Liza Tarbuck,17
6,8,What kind of pictures?,2018-06-20,Russell Howard,17
6,9,The Bubble Brothers.,2018-06-27,Asim Chaudhry,12
6,9,The Bubble Brothers.,2018-06-27,Liza Tarbuck,14
6,9,The Bubble Brothers.,2018-06-27,Russell Howard,15
6,9,The Bubble Brothers.,2018-06-27,Tim Vine,16
6,9,The Bubble Brothers.,2018-06-27,Alice Levine,18
6,10,He was a different man.,2018-07-04,Liza Tarbuck,10
6,10,He was a different man.,2018-07-04,Russell Howard,12
6,10,He was a different man.,2018-07-04,Tim Vine,13
6,10,He was a different man.,2018-07-04,Alice Levine,16
6,10,He was a different man.,2018-07-04,Asim Chaudhry,22
7,1,The mean bean.,2018-09-05,James Acaster,11
7,1,The mean bean.,2018-09-05,Phil Wang,13
7,1,The mean bean.,2018-09-05,Jessica Knappett,14
7,1,The mean bean.,2018-09-05,Rhod Gilbert,19
7,1,The mean bean.,2018-09-05,Kerry Godliman,20
7,2,My eyes are circles.,2018-09-12,James Acaster,16
7,2,My eyes are circles.,2018-09-12,Phil Wang,19
7,2,My eyes are circles.,2018-09-12,Rhod Gilbert,22
7,2,My eyes are circles.,2018-09-12,Jessica Knappett,23
7,2,My eyes are circles.,2018-09-12,Kerry Godliman,23
7,3,Twelve blush majesty two.,2018-09-19,Rhod Gilbert,9
7,3,Twelve blush majesty two.,2018-09-19,Jessica Knappett,15
7,3,Twelve blush majesty two.,2018-09-19,Phil Wang,15
7,3,Twelve blush majesty two.,2018-09-19,Kerry Godliman,17
7,3,Twelve blush majesty two.,2018-09-19,James Acaster,18
7,4,OLLIE.,2018-09-26,Phil Wang,12
7,4,OLLIE.,2018-09-26,Jessica Knappett,16
7,4,OLLIE.,2018-09-26,Kerry Godliman,16
7,4,OLLIE.,2018-09-26,James Acaster,17
7,4,OLLIE.,2018-09-26,Rhod Gilbert,17
7,5,Lotta soup.,2018-10-03,Phil Wang,9
7,5,Lotta soup.,2018-10-03,Kerry Godliman,17
7,5,Lotta soup.,2018-10-03,Rhod Gilbert,18
7,5,Lotta soup.,2018-10-03,James Acaster,20
7,5,Lotta soup.,2018-10-03,Jessica Knappett,25
7,6,A coquettish fascinator.,2018-10-10,Jessica Knappett,16
7,6,A coquettish fascinator.,2018-10-10,Kerry Godliman,17
7,6,A coquettish fascinator.,2018-10-10,Phil Wang,17
7,6,A coquettish fascinator.,2018-10-10,Rhod Gilbert,18
7,6,A coquettish fascinator.,2018-10-10,James Acaster,19
7,7,The perfect stuff.,2018-10-17,Kerry Godliman,14
7,7,The perfect stuff.,2018-10-17,James Acaster,15
7,7,The perfect stuff.,2018-10-17,Phil Wang,15
7,7,The perfect stuff.,2018-10-17,Jessica Knappett,18
7,7,The perfect stuff.,2018-10-17,Rhod Gilbert,21
7,8,Mother honks her horn.,2018-10-24,Phil Wang,9
7,8,Mother honks her horn.,2018-10-24,James Acaster,16
7,8,Mother honks her horn.,2018-10-24,Kerry Godliman,16
7,8,Mother honks her horn.,2018-10-24,Jessica Knappett,19
7,8,Mother honks her horn.,2018-10-24,Rhod Gilbert,20
